epoch,DICE_metric,accuracy,io_u,loss,val_DICE_metric,val_accuracy,val_io_u,val_loss
71,0.00174550361438611,0.74900997,0.7492516,0.1328405588788184,0.00027036666419205196,0.77434754,0.77483404,0.12593970206730506
72,0.0006257644853815195,0.7490709,0.74924976,0.13268101470088525,0.008603339858705017,0.7732061,0.77483684,0.127505860017503
73,0.0012873759590302809,0.7489886,0.74924976,0.1338219130843483,0.004525049359898911,0.7732052,0.77483404,0.12623069435358047
74,0.0015341745867779079,0.74908215,0.74924994,0.13258334422184906,0.000773832886853607,0.77432203,0.77483404,0.126806299914332
75,0.0019103192140008348,0.7485038,0.74924994,0.13348504300198413,0.0007842331121532663,0.7746245,0.77483404,0.12621499882901416
76,0.0005912384742334363,0.74923813,0.74925005,0.13458856836652125,0.00014598232239097366,0.7741836,0.77483404,0.1280343861264341
77,0.003356329713789624,0.7490361,0.7492503,0.13414006919556895,0.00015037776012570065,0.7748049,0.77483404,0.12637770690900438
78,0.0011671647576760322,0.749211,0.74924976,0.13435688970104748,0.004030319368430502,0.77265954,0.77483404,0.12480423993924085
79,0.00096369463441409,0.7491929,0.74924976,0.13431117504785786,7.817894211170459e-05,0.77470833,0.77483404,0.12759684289202972
80,0.0009097444581607859,0.7490662,0.74924976,0.13367994663780494,0.0007618018693029964,0.7738693,0.77483404,0.1249436969485353
81,0.0005154837336686596,0.7491783,0.74924976,0.13430290162217934,0.0016758556099594703,0.7740023,0.77483404,0.12675366660251336
82,0.0006169498734154365,0.74875003,0.74924976,0.13412665551071926,5.118962689915451e-05,0.77483404,0.77483404,0.12630097217419567
83,0.0008313317374974742,0.74903995,0.74924976,0.13432730299525505,0.0013528992619801974,0.77305853,0.77483404,0.1261489074677229
84,0.0013706797650105253,0.7489263,0.74924976,0.13354406118491627,7.680963621148831e-05,0.77482855,0.77483404,0.12542728630497174
85,0.0005745700223114618,0.74902374,0.74924976,0.133537501516129,0.0017163297751437029,0.77386475,0.77483404,0.1261330140645013
86,0.0025287403949102233,0.7490044,0.74925005,0.1334066315621927,0.001378153350600083,0.77401596,0.77483404,0.12762687552501173
87,0.0003916292210038436,0.74899143,0.74924976,0.13390045582211965,0.00034988170857949377,0.7747666,0.77483404,0.126918720519718
88,0.0010677086498245738,0.74895704,0.74924976,0.13386886570577985,0.0008835796734202465,0.77396953,0.77483404,0.1269265289473183
89,0.0005315658596035921,0.748963,0.74924976,0.1333751831471994,0.0014649959947959912,0.7741198,0.77483404,0.1237412691116333
90,0.0009148688345900751,0.748986,0.74924976,0.13330757120217115,3.3910257660276814e-05,0.77482766,0.77483404,0.125622692901422
91,0.0007144128186764887,0.7491867,0.74924976,0.1334740813352809,0.0001681133788054833,0.7745799,0.77483404,0.12548904383883758
92,0.0012281689585637318,0.74916583,0.74925005,0.13332513720413905,0.007080930468274599,0.77251285,0.77483404,0.1270360741764307
93,0.0016553920486569553,0.74868953,0.74925005,0.13395693649025942,0.000863858179915745,0.7741125,0.77483404,0.12393772251465741
94,0.0013008803071827783,0.7490179,0.74925005,0.13399294541766313,8.25124975184389e-05,0.7747839,0.77483404,0.12573666377540896
95,0.001357774863590879,0.7490102,0.74925005,0.13340659019543438,0.00024390211592435274,0.774527,0.77483404,0.12663252465426922
96,0.0018091860781756291,0.7488174,0.74924976,0.13383706833624484,0.0001532076573016708,0.7746017,0.77483404,0.12520647969316034
97,0.0009905587418342636,0.749078,0.74924976,0.1344313866748715,0.00023880660656873758,0.7747839,0.77483404,0.12879193245488055
98,0.0014688242177351347,0.74878234,0.74924976,0.13435356672359816,0.00679036122458843,0.77263767,0.7748361,0.12514729239046574
99,0.001459383742477789,0.7491049,0.74924976,0.13336638487036653,0.0003791808041710606,0.77433574,0.77483404,0.12521279449848569
100,0.002223339138111771,0.7489356,0.74925023,0.13371813182552525,0.0007875154476209283,0.7743867,0.77483404,0.12734141945838928
101,0.0024277620361327925,0.7488821,0.74925023,0.1330579501508877,0.005700894186348835,0.77258754,0.7741793,0.12610381337649681
102,0.0029606629404079817,0.7489398,0.74924767,0.1329538913949436,8.37717638154728e-05,0.77483404,0.77483404,0.12432235347874024
103,0.0008054778009497452,0.74903125,0.74924976,0.133461621213729,0.00139459586703714,0.774609,0.77483404,0.12503157577970447
104,0.0011189261748333309,0.74900997,0.74924976,0.13378351292764115,0.00543655495121987,0.7720182,0.77483404,0.1247691100134569
105,0.002037302566641698,0.7489936,0.74925005,0.13330025467651568,0.0015858679366224755,0.7745343,0.77483404,0.12778331996763453
106,0.0019137898734524043,0.7488637,0.74924976,0.13365205184908102,0.006225631670746183,0.7733218,0.77483404,0.12591371564742396
107,0.0022981371288621193,0.7488785,0.74924976,0.13300051299287685,0.008677715000553886,0.7715782,0.7748361,0.12604310670319727
108,0.0031448215351176814,0.7486884,0.74925005,0.133304881536408,0.002545294493159505,0.774108,0.77483475,0.12673361248829784
109,0.0021016919573453754,0.7489884,0.74924976,0.13352681608679426,0.003074712184817731,0.77398866,0.77483475,0.12810279845314868
110,0.0022204733671811533,0.74895227,0.74924994,0.13429715989515284,0.0023021313333804303,0.7743949,0.77483404,0.12565269858083306
111,0.0025293329112553633,0.7489599,0.7492526,0.13344292990271225,0.005431427819607159,0.7738948,0.7748354,0.1293410245767411
112,0.0030222360257849638,0.74919105,0.74930894,0.1334695429572009,0.0009445869780378913,0.7743849,0.77483404,0.12619419965673895
113,0.002207541748404316,0.7490052,0.74925005,0.13454747446720175,0.0019467302783443018,0.7733482,0.77483404,0.12584126762607517
114,0.0020451068548387476,0.74893224,0.74924994,0.1335193876682824,0.004150926147932306,0.77384377,0.77483404,0.1268069693709121
115,0.0016997201824802762,0.7487789,0.74924976,0.13301712788320733,0.0003396630999225977,0.7747648,0.77483404,0.12865993709248655
116,0.002201787950919234,0.7491152,0.74925023,0.1334431137248183,0.008953822077033543,0.77173764,0.7748354,0.12731566849876852
117,0.003733677429818935,0.74875754,0.7492508,0.13364413056818658,0.00653201471583072,0.7729756,0.7748354,0.12576584386474945
118,0.0030508766702755674,0.7488382,0.74925005,0.13287776618554498,0.005902718225534098,0.7725083,0.77483505,0.12469095605261185
118,0.0015857066635213857,0.7484344,0.74924886,0.13475595651478167,0.0006032030926489836,0.774128,0.77483404,0.12800823787555976
119,0.0010978028577453172,0.74912655,0.74925023,0.13396145391049763,0.0001984421346678821,0.7743858,0.77483404,0.1257623126182486
120,0.0008085349386267803,0.7492035,0.74925005,0.1337775300990864,5.581744657128389e-06,0.77483404,0.77483404,0.12533813210971215
121,0.0020573976808636522,0.7491453,0.7492508,0.13338596863511776,0.00033608867588367207,0.7746792,0.77483404,0.1245124443050693
122,0.0023366776888684463,0.7490947,0.74925005,0.13472459387552266,0.009296853641314728,0.77103436,0.77483684,0.12669721760732286
123,0.0010137293752584407,0.74908113,0.74924976,0.1341465695742641,0.0015203976122712183,0.7738611,0.77483475,0.12455756074803717
124,0.0027098776994723,0.74882305,0.74925065,0.13374924513708725,0.00028195792070746274,0.77481395,0.77483404,0.12450738152598634
123,0.0014985390612232811,0.74907637,0.74924994,0.13448093262260521,0.00014323194637719033,0.7747794,0.77483404,0.12784185874111512
124,0.001006924373562813,0.7489958,0.74925005,0.13421273478214316,0.00011532229798055766,0.77478665,0.77483404,0.12441899638403864
125,0.0007014670417477742,0.7491333,0.74924994,0.1340231943801539,0.0002661856781055653,0.774537,0.77483404,0.1262754061642815
126,0.0010692883515028145,0.7491862,0.74925035,0.13394973091534432,0.00021186545245355646,0.77480125,0.77483404,0.12660526528077967
